OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),DefaultData,ComplianceStatus,BuildingAge,log_surface,Size_S,Size_M,Size_L,Size_XL,Size_XXL,surface_per_floor,Nhood_CENTRAL,Nhood_DELRIDGE,Nhood_DOWNTOWN,Nhood_EAST,Nhood_GREATER DUWAMISH,Nhood_LAKE UNION,Nhood_MAGNOLIA / QUEEN ANNE,Nhood_NORTH,Nhood_NORTHEAST,Nhood_NORTHWEST,Nhood_Other,Nhood_SOUTHEAST,Nhood_SOUTHWEST
111,Nonresidential COS,Other,Mercer Arena,363 Mercer St.,Seattle,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928,1,0,60696,Other,108000.0,875943.3125,875943.3125,False,Compliant,97,11.013649552432474,False,False,True,False,False,60696.0,False,False,False,False,False,False,True,False,False,False,False,False,False
112,Nonresidential COS,Other,McCaw Hall,321 Mercer St.,Seattle,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928,2,0,262048,Other,296000.0,20723248.0,20823520.0,False,Compliant,97,12.476286788157395,False,False,False,False,True,131024.0,False,False,False,False,False,False,True,False,False,False,False,False,False
113,NonResidential,Small- and Mid-Sized Office,KCTS9,401 Mercer St,Seattle,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986,2,2352,63888,Office,45900.0,4166306.25,4192107.75,False,Compliant,39,11.06490248157219,False,False,True,False,False,31944.0,False,False,False,False,False,False,True,False,False,False,False,False,False
114,NonResidential,Large Office,Bill and Melinda Gates Foundation,500 5th Ave N,Seattle,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010,6,303707,616891,Office,729584.0,36667044.0,38105108.0,False,Compliant,15,13.332449247047506,False,False,False,False,True,102815.16666666667,False,False,False,False,False,False,True,False,False,False,False,False,False
115,NonResidential,Small- and Mid-Sized Office,J.G. Scripps Building,221 1st Ave. W,Seattle,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970,4,25930,50283,Office,48546.0,3476212.5,3647345.75,False,Compliant,55,10.825442214034721,False,False,True,False,False,12570.75,False,False,False,False,False,False,True,False,False,False,False,False,False
116,NonResidential,Hotel,MEDITERRANEAN INN (ID#116),425 queen anne ave N.,Seattle,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,2002,6,36934,59976,Hotel,59976.0,5155568.5,5274523.0,False,Compliant,23,11.001716434379901,False,False,True,False,False,9996.0,False,False,False,False,False,False,True,False,False,False,False,False,False
117,NonResidential,Hotel,UNIVERSITY INN,4140 ROOSEVELT WAY NE,Seattle,NORTHEAST,47.65772,-122.31756,1962,4,0,50017,Hotel,50017.0,5448975.0,5528580.5,False,Compliant,63,10.82013821962583,False,False,True,False,False,12504.25,False,False,False,False,False,False,False,False,True,False,False,False,False
119,NonResidential,K-12 School,St. Joseph K-8 School,700 18th Ave. E.,Seattle,EAST,47.62548,-122.30828,1923,3,0,67743,K-12 School,67743.0,2646879.0,3036464.0,False,Compliant,102,11.123491173934593,False,False,True,False,False,22581.0,False,False,False,True,False,False,False,False,False,False,False,False,False
120,NonResidential,K-12 School,Holy Names Academy,728 21st Ave East,Seattle,EAST,47.62644,-122.30429,1908,6,0,194104,K-12 School,194104.0,6219841.5,7204080.0,False,Compliant,117,12.176154528742888,False,False,False,True,False,32350.666666666668,False,False,False,True,False,False,False,False,False,False,False,False,False
121,NonResidential,Small- and Mid-Sized Office,2100 Building,2100 24th Ave S,Seattle,SOUTHEAST,47.58408,-122.30125,2003,3,35752,63681,Office,63681.0,4897760.0,4980737.5,False,Compliant,22,11.06165722706025,False,False,True,False,False,21227.0,False,False,False,False,False,False,False,False,False,False,False,True,False
131,NonResidential,Other,Lakeview,1208 NE 64th st,Seattle,NORTHEAST,47.67524,-122.31534,1941,4,0,56521,Other,49000.0,6357632.0,6367210.0,False,Compliant,84,10.94238522187658,False,False,True,False,False,14130.25,False,False,False,False,False,False,False,False,True,False,False,False,False
132,NonResidential,Other,Roosevelt Square,6417 Roosevelt Way NE # 18-28,Seattle,NORTHEAST,47.67559,-122.31769,1929,2,0,206934,Other,119146.0,4253577.5,4384625.5,False,Compliant,96,12.240160013274313,False,False,False,False,True,103467.0,False,False,False,False,False,False,False,False,True,False,False,False,False
136,NonResidential,Hotel,Holiday Inn Express North Seattle Shoreline,14115 Aurora Ave N,Seattle,NORTHWEST,47.73141,-122.3458,2001,4,0,51390,Hotel,51390.0,3611538.0,3616214.0,False,Compliant,24,10.847218338835674,False,False,True,False,False,12847.5,False,False,False,False,False,False,False,False,False,True,False,False,False
138,SPS-District K-12,K-12 School,Ingraham High,1819 N. 135th St.,Seattle,NORTHWEST,47.7257,-122.33684,1959,1,0,245587,K-12 School,245587.0,11765682.0,12870916.0,False,Compliant,66,12.411410614126586,False,False,False,False,True,245587.0,False,False,False,False,False,False,False,False,False,True,False,False,False
139,NonResidential,Hotel,7066-Seattle-Northgate,13300 Stone Avenue N,Seattle,NORTHWEST,47.72551,-122.3423,2002,3,0,69138,Hotel,70609.0,3242458.0,3323400.5,False,Compliant,23,11.14387424996344,False,False,True,False,False,23046.0,False,False,False,False,False,False,False,False,False,True,False,False,False
