OSEBuildingID,BuildingType,PrimaryPropertyType,PropertyName,Address,City,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
26594,NonResidential,Other,107 Occidental Ave S,107 Occidental Ave S,Seattle,DOWNTOWN,47.60135,-122.33327,1900,1.0,1,0,21420,Museum,10420.0,810636.875,False,Compliant,9.72
26596,NonResidential,Small- and Mid-Sized Office,W0164 Washington Building,164 s washington  st,Seattle,DOWNTOWN,47.6011,-122.33197,1900,1.0,1,0,20880,Office,20880.0,683274.0,False,Compliant,4.76
26600,NonResidential,Mixed Use Property,Cadillac Hotel,319 2nd Avenue South,Seattle,DOWNTOWN,47.59938,-122.33197,1966,1.0,3,0,26000,Office,13000.0,1063035.875,False,Compliant,18.62
26601,NonResidential,Small- and Mid-Sized Office,Duncan Building,315 2nd Avenue South,Seattle,DOWNTOWN,47.59954,-122.33201,1900,1.0,3,0,38675,Office,12100.0,1938776.75,False,Compliant,43.91
26602,Nonresidential COS,Small- and Mid-Sized Office,Fire Headquarters,301 2nd Ave S (401 Yesler Way),Seattle,DOWNTOWN,47.59986,-122.33195,1929,1.0,4,0,49951,Office,32039.0,5134446.0,False,Compliant,185.33
26611,NonResidential,Medical Office,Rainier Beach Medical & Dental Clinic,9245 Rainier Ave S,Seattle,SOUTHEAST,47.5195,-122.26935,2010,1.0,2,0,25880,Medical Office,25880.0,1941728.75,False,Compliant,19.81
26657,NonResidential,Worship Facility,University Lutheran Church,1604 NE 50th St,Seattle,NORTHEAST,47.66517,-122.31037,1927,1.0,3,0,41013,Worship Facility,32098.0,1080821.0,False,Compliant,37.43
26667,NonResidential,Other,Hillel Foundation,4745 17th Ave. NE,Seattle,NORTHEAST,47.66453,-122.30999,2004,1.0,2,0,21075,Social/Meeting Hall,18075.0,1581036.75,False,Compliant,53.88
26670,NonResidential,Worship Facility,Calvary Christian Assembly,6801 Roosevelt Way NE,Seattle,NORTHEAST,47.67842,-122.31949,1950,1.0,3,0,46485,Worship Facility,63922.0,1544995.75,False,Compliant,47.03
26681,NonResidential,Small- and Mid-Sized Office,(ID#26681) RAVENNA OFFICE BLDG,444 NE RAVENNA BLVD,Seattle,NORTHWEST,47.67819,-122.3231,1965,1.0,4,0,56896,Office,40768.0,1402048.5,False,Compliant,28.46
26695,NonResidential,Worship Facility,Church in Seattle,6900 Woodlawn Ave. NE,Seattle,NORTHWEST,47.67783,-122.32577,1978,1.0,2,0,27500,Worship Facility,27500.0,577123.125,False,Compliant,14.79
26705,NonResidential,Small- and Mid-Sized Office,Graybar Building,416 Occidental Ave S,Seattle,DOWNTOWN,47.59856,-122.33248,1930,1.0,2,0,36630,Office,22000.0,541943.3125,False,Compliant,3.78
26706,NonResidential,Small- and Mid-Sized Office,Moses Building,316 2nd Ave S,Seattle,DOWNTOWN,47.59954,-122.33115,1900,0.0,3,0,26830,Office,16838.0,2099386.75,False,Compliant,60.93
26708,NonResidential,Small- and Mid-Sized Office,Mottman Building,307 3rd Ave South,Seattle,DOWNTOWN,47.59971,-122.33065,1906,1.0,5,0,41920,Office,41920.0,1103594.75,False,Compliant,7.69
26710,NonResidential,Small- and Mid-Sized Office,Masin Building 1,220 Second Avenue South,Seattle,DOWNTOWN,47.60048,-122.33157,1905,1.0,5,0,36879,Office,44000.0,1537570.25,False,Compliant,26.94
26711,NonResidential,Other,Men's Shelter,318 2nd Ave Extension S,Seattle,DOWNTOWN,47.60055,-122.33057,1904,1.0,6,0,29820,Other - Lodging/Residential,29820.0,1601955.625,False,Compliant,35.72
26719,NonResidential,Small- and Mid-Sized Office,220_3rd_ave_s_03262013,220 3rd Ave South,Seattle,DOWNTOWN,47.60026,-122.3299,1905,0.0,2,0,33640,Office,27322.0,1078535.75,False,Compliant,7.52
26720,NonResidential,Warehouse,Seattle Lighting Fixture,222 2nd Ave  Ext S,Seattle,DOWNTOWN,47.59986,-122.32987,1906,1.0,4,0,43484,Non-Refrigerated Warehouse,26416.0,1567040.75,False,Compliant,10.92
26726,NonResidential,Mixed Use Property,Buty Building,501 South Jackson St.,Seattle,DOWNTOWN,47.599,-122.32717,1900,1.0,3,0,22480,Office,10800.0,981009.125,False,Compliant,6.84
26728,NonResidential,Hotel,American Hotel,520 S. King St.,Seattle,DOWNTOWN,47.5985,-122.32677,1925,1.0,4,0,33018,Hotel,23193.0,4857581.5,False,Compliant,173.67
26731,NonResidential,Small- and Mid-Sized Office,Dearborn Bldg.,624 S. Dearborn Bldg.,Seattle,DOWNTOWN,47.5962,-122.32548,1970,1.0,2,0,26510,Office,30800.0,987063.6875,False,Compliant,11.18
26759,NonResidential,Warehouse,Dunn Lumber Retail/Offices,3801 Latona Av Ne,Seattle,LAKE UNION,47.65429,-122.32618,1938,1.0,1,0,40028,Non-Refrigerated Warehouse,33222.0,942415.1875,False,Compliant,6.76
26761,NonResidential,Small- and Mid-Sized Office,North Lake Office Bldg.,100 NE Northlake Way,Seattle,LAKE UNION,47.65373,-122.32721,2007,1.0,3,18228,26282,Office,26282.0,2188051.25,False,Compliant,15.25
26773,NonResidential,Worship Facility,Lake City Presbyterian Church,3841 NE 123rd Street,Seattle,NORTH,47.71705,-122.28577,1954,1.0,1,0,21624,Worship Facility,21624.0,666687.5,False,Compliant,20.96
26833,NonResidential,Small- and Mid-Sized Office,Sixth & King Associates,601 S. King Street,Seattle,DOWNTOWN,47.59819,-122.32599,1993,0.0,3,0,21600,Office,11600.0,1539176.625,False,Compliant,32.42
26834,NonResidential,Mixed Use Property,(ID26834) SOO YUEN ASSOCIATION BUILDING,525 MAYNARD AVE S,Seattle,DOWNTOWN,47.59769,-122.32537,1909,1.0,3,0,20620,Multifamily Housing,10060.0,747456.875,False,Compliant,20.78
